,StTime,line,type
103,1589.5303,"But I didn't- My mom was sick, so I didn't want to go away.",AB1
104,1589.5303,"But I didn't- My mom was sick, so I didn't want to go away.",AB1
105,1723.3257,And he didn't really have-,AB1
106,1727.9528,"they didn't really have the resources to better themselves. Like, especially after they",AB1
107,1865.2732,just didn't get a good-,AB1
108,1958.9131,[And] eighth street did not used to look like that.,AB1
109,1958.9131,[And] eighth street did not used to look like that.,AB1
110,2023.6094,I didn't want to stay around,AB1
111,2191.3254,[because they] don't- They didn't grow up on it.,AB1
112,402.2011,"Cause Uptown is different neighborhoods, too.",CO2
113,409.5764,"<ts> it's /T-Mob/, which is Truesdell.",CO2
114,424.0907,"[Neighborhoods] within a neighborhood, but a- this neighborhood is all together.",CO2
115,529.3375,"But most of the guys, are either",CO2
116,671.1858,I think people are getting older,CO2
117,727.4137,<ts> A lot of people are moving away.,CO2
118,741.4549,"A lot of people are going to Maryland,",CO2
119,788.0482,"it is still a lot of good people here,",CO2
120,908.6501,"So, this is how it went.",CO2
121,1016.8839,had /RD-SCHOOL-3/ which is Uptown-,CO2
122,1084.6182,This is important.,CO2
123,1109.9423,Uptown is Northwest.,CO2
124,1113.0538,[Northeast-] Northeast is like,CO2
125,1117.0622,"This is considered Northeast. [Northeast], Trinidad, uh, Brookland,",CO2
126,1122.0586,all that's Northeast. Southwest is like down by,CO2
127,1309.7578,"n- Even now, like you said it- it- It's the ninth- Some of Maryland is the- The outskirts of DC, some of Maryland is the ninth ward right?",CO2
128,1309.7578,"n- Even now, like you said it- it- It's the ninth- Some of Maryland is the- The outskirts of DC, some of Maryland is the ninth ward right?",CO2
129,1549.9437,My brother is a hood ninja.,CO2
130,1764.6704,"dilemma is like okay,",CO2
131,1773.4016,what are you doing?,CO2
132,1850.2902,home owners are- that are looking to buy-,CO2
133,1853.9434,Majority are not from,CO2
134,1914.9762,[Mm-mm.] It's- it's actually- DC is so diverse.,CO2
135,2382.0303,"Groovers, those are older [bands.]",CO2
136,2391.6569,"<laugh> Those are the younger,",CO2
137,2488.0513,"Yeah, cause one- some of 'em are too sweet and some of 'em too spicy.",CO2
138,2624.5126,[That is ratchet.],CO2
139,2674.7776,"But DC is a whole backstory, and",CO2
140,2727.6084,And I think that that's- that's why a lot of people are coming here.,CO2
141,2761.1836,[DC] is it.,CO2
